,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score,GameTier
133,192,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,40.0,0.37227866473149496,92.75,26.76,39.960759554910496,Low
134,193,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,76.0,0.7121001390820584,63.38,75.31,46.46736671302735,Medium
135,196,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,85.0,0.061924381968007765,94.37,89.87,61.43397479398934,High
136,197,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,65.0,0.2334862385321101,76.06,69.77,48.68782874617737,Medium
137,199,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,75.0,0.15506715506715504,84.81,78.57,54.511689051689046,High
138,200,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,80.0,0.22344645218157785,91.03,85.06,58.77114881739386,High
139,202,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,80.0,0.2321100917431193,88.73,87.21,58.724036697247705,High
140,203,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,90.0,0.8767857142857143,72.73,100.0,57.86892857142857,High
141,204,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,80.0,0.060833737275811935,85.92,83.54,56.50694457909194,High
142,205,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,92.0,0.5279831045406547,89.09,93.55,61.055994368180215,High
143,208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,82.0,0.2190392243278978,80.77,87.36,56.116346408109294,High
144,209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,71.0,0.2190392243278978,62.82,74.71,45.91634640810929,Medium
145,211,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,85.0,0.13855252041678398,93.33,91.46,61.64285084013892,High
146,212,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,81.0,0.21639488761568976,88.46,86.21,58.295464962538546,High
147,213,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,80.0,0.21120689655172414,88.24,84.27,57.573735632183904,High
148,218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,0.22155963302752296,94.37,89.53,61.37385321100917,High
149,219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,73.0,0.21198765976200973,79.49,77.01,52.237329219920674,High
150,220,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,87.0,0.21972477064220186,92.96,95.35,62.84324159021406,High
