,Borough,Major Category,Minor Category,MinorCategory,MajorCategory,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NormalizedSumYears,CrimeTier
161,Bromley,Violence Against the Person,Murder,29,8,0,4,0,3,1,1,1,0,0,1,4,-0.7350261998067823,0
162,Bromley,Violence Against the Person,Offensive Weapon,30,8,172,136,112,113,85,84,75,86,85,211,184,-0.6309050180377399,0
163,Bromley,Violence Against the Person,Other violence,31,8,183,136,166,145,177,176,204,215,257,292,317,-0.5519816062703741,0
164,Bromley,Violence Against the Person,Wounding/GBH,32,8,162,0,103,262,154,386,584,601,656,724,612,-0.41333836956511394,1
165,Camden,Burglary,Burglary in a Dwelling,0,0,2006,1764,1566,1848,1533,1506,1518,1528,1432,1646,1905,0.8957246332092114,2
166,Camden,Burglary,Burglary in Other Buildings,1,0,1599,1566,1655,1582,1407,1594,1413,1311,1221,1886,1958,0.7455370437278528,2
167,Camden,Criminal Damage,Criminal Damage To Dwelling,2,1,754,714,566,515,436,350,370,356,379,375,371,-0.24328117290181653,1
168,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,3,1,1009,968,792,810,689,564,652,669,622,659,530,0.01591174760001079,1
169,Camden,Criminal Damage,Criminal Damage To Other Building,4,1,361,364,403,343,300,281,278,344,320,281,260,-0.4037920778464171,1
170,Camden,Criminal Damage,Other Criminal Damage,5,1,557,569,520,464,467,372,396,535,616,564,555,-0.23706498294545578,1
171,Camden,Drugs,Drug Trafficking,6,2,293,274,201,244,165,133,123,97,111,95,91,-0.5539796673277757,0
172,Camden,Drugs,Other Drugs,7,2,57,21,30,13,28,23,17,13,19,15,14,-0.7116044840783516,0
173,Camden,Drugs,Possession Of Drugs,8,2,4010,3258,2392,2393,2088,2039,1802,1554,1372,1217,1153,1.5847226878365526,2
174,Camden,Fraud or Forgery,Counted per Victim,9,3,518,497,643,678,826,79,0,0,0,0,0,-0.3763742400031831,1
175,Camden,Fraud or Forgery,Other Fraud & Forgery,10,3,384,370,415,480,579,86,53,30,39,57,38,-0.46573197062586874,1
176,Camden,Other Notifiable Offences,Going Equipped,11,4,19,34,31,28,26,28,19,16,19,16,13,-0.7117154874704295,0
177,Camden,Other Notifiable Offences,Other Notifiable,12,4,471,400,358,335,450,400,469,432,509,409,451,-0.31165926242178466,1
178,Camden,Robbery,Business Property,13,5,73,92,95,65,56,74,77,78,65,126,111,-0.6612089440749985,0
179,Camden,Robbery,Personal Property,14,5,895,962,1084,1440,1078,823,805,964,848,1901,1619,0.2516829523734075,2
180,Camden,Sexual Offences,Other Sexual,15,6,175,220,222,257,250,234,281,392,392,436,419,-0.4671750147228811,1
181,Camden,Sexual Offences,Rape,16,6,40,53,116,117,93,103,157,189,226,316,304,-0.6146985227943708,0
182,Camden,Theft and Handling,Handling Stolen Goods,17,7,124,114,87,99,90,57,51,46,60,48,42,-0.6553257642948713,0
183,Camden,Theft and Handling,Motor Vehicle Interference & Tampering,18,7,41,183,176,204,159,159,293,360,383,0,0,-0.5187915920390908,1
184,Camden,Theft and Handling,Other Theft,19,7,7334,7425,8147,8645,8368,7220,6073,6205,5781,5973,6779,6.501062922965431,2
185,Camden,Theft and Handling,Other Theft Person,20,7,1402,2185,2480,4019,4309,3770,2471,3178,2837,7517,4551,2.2222151685397624,2
186,Camden,Theft and Handling,Theft From Motor Vehicle,21,7,2903,2312,2236,2518,2121,1905,1726,1509,1604,1920,2078,1.3545016526670495,2
187,Camden,Theft and Handling,Theft From Shops,22,7,972,1269,1330,1407,1257,1107,1204,1462,1684,1793,1661,0.5617154264468994,2
188,Camden,Theft and Handling,Theft/Taking Of Motor Vehicle,23,7,795,771,656,682,574,695,805,785,859,1038,658,-0.0010717713879033741,1
189,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,24,7,1238,1869,1568,1413,1152,1104,1153,1077,1083,1191,1345,0.557830307724174,2
190,Camden,Violence Against the Person,Assault with Injury,25,8,1732,1755,2009,1955,1678,1190,1301,1468,1600,1620,1714,0.894281589112199,2
191,Camden,Violence Against the Person,Common Assault,26,8,1353,1295,1453,1490,1336,1195,1655,2140,2325,2536,2545,0.8447740762454689,2
192,Camden,Violence Against the Person,Grievous Bodily Harm,27,8,157,293,171,0,0,0,0,0,0,0,0,-0.6672031272472034,0
193,Camden,Violence Against the Person,Harassment,28,8,2208,2034,1917,1616,1617,1326,1805,2423,2635,2891,3035,1.2154144023934779,2
194,Camden,Violence Against the Person,Murder,29,8,2,2,2,2,6,1,2,1,6,1,4,-0.7334721523176921,0
195,Camden,Violence Against the Person,Offensive Weapon,30,8,191,125,144,107,114,120,83,97,139,211,188,-0.6118124346003462,0
196,Camden,Violence Against the Person,Other violence,31,8,268,209,161,202,191,235,214,230,262,300,289,-0.5172375445500006,1
197,Camden,Violence Against the Person,Wounding/GBH,32,8,168,0,103,250,229,530,673,856,726,906,870,-0.34373924273228923,1
198,Croydon,Burglary,Burglary in a Dwelling,0,0,2296,2835,2831,2959,2798,2759,2068,1825,1853,2053,2246,1.73080315181103,2
199,Croydon,Burglary,Burglary in Other Buildings,1,0,1481,1432,1435,1693,1256,1219,1079,915,900,1105,1123,0.5304124698809399,2
200,Croydon,Criminal Damage,Criminal Damage To Dwelling,2,1,1281,1148,1109,946,798,699,661,744,751,764,652,0.16709836761007024,2
201,Croydon,Criminal Damage,Criminal Damage To Motor Vehicle,3,1,2072,1967,1836,1470,1341,1215,1198,1243,1323,1236,998,0.7807251190165376,2
202,Croydon,Criminal Damage,Criminal Damage To Other Building,4,1,481,415,411,364,323,305,318,317,336,271,187,-0.37315514163292485,1
203,Croydon,Criminal Damage,Other Criminal Damage,5,1,792,798,748,733,665,620,676,842,848,892,836,0.010028567819883663,1
204,Croydon,Drugs,Drug Trafficking,6,2,122,130,147,149,224,134,167,117,99,125,95,-0.5930528613391861,0
