Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bromley,Other Notifiable Offences,Other Notifiable,213,270,276,190,227,268,327,391,407,389,395
Bromley,Robbery,Business Property,117,79,75,66,63,70,55,43,38,64,69
Bromley,Robbery,Personal Property,715,519,539,672,542,508,338,319,330,565,384
Bromley,Sexual Offences,Other Sexual,189,219,191,187,169,186,241,276,319,335,378
Bromley,Sexual Offences,Rape,27,61,57,70,59,111,119,128,155,183,204
Bromley,Theft and Handling,Handling Stolen Goods,54,71,61,49,62,40,49,28,25,28,18
Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,292,298,188,154,166,199,243,333,342,0,0
Bromley,Theft and Handling,Other Theft,2579,2245,2399,2739,3189,2862,2788,2841,2691,2759,2633
Bromley,Theft and Handling,Other Theft Person,443,386,325,322,366,365,303,275,352,297,308
Bromley,Theft and Handling,Theft From Motor Vehicle,2882,2391,2148,2132,1937,1963,1671,1462,1440,1864,2029
Bromley,Theft and Handling,Theft From Shops,1595,1493,1443,1459,1233,1532,1750,1688,1850,1722,2074
Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,1105,861,753,766,764,647,572,797,709,883,900
Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,226,263,209,280,253,178,167,170,207,227,215
Bromley,Violence Against the Person,Assault with Injury,1941,1932,1752,1656,1383,1278,1375,1422,1468,1542,1524
Bromley,Violence Against the Person,Common Assault,1213,1254,1109,988,1033,1022,1423,1687,1647,1878,1915
Bromley,Violence Against the Person,Grievous Bodily Harm,124,290,118,0,0,0,0,0,0,0,0
Bromley,Violence Against the Person,Harassment,1740,1770,1510,1507,1376,1307,1890,2622,2555,2713,2937
Bromley,Violence Against the Person,Murder,0,4,0,3,1,1,1,0,0,1,4
Bromley,Violence Against the Person,Offensive Weapon,172,136,112,113,85,84,75,86,85,211,184
Bromley,Violence Against the Person,Other violence,183,136,166,145,177,176,204,215,257,292,317
Bromley,Violence Against the Person,Wounding/GBH,162,0,103,262,154,386,584,601,656,724,612
Camden,Burglary,Burglary in a Dwelling,2006,1764,1566,1848,1533,1506,1518,1528,1432,1646,1905
Camden,Burglary,Burglary in Other Buildings,1599,1566,1655,1582,1407,1594,1413,1311,1221,1886,1958
Camden,Criminal Damage,Criminal Damage To Dwelling,754,714,566,515,436,350,370,356,379,375,371
Camden,Criminal Damage,Criminal Damage To Motor Vehicle,1009,968,792,810,689,564,652,669,622,659,530
Camden,Criminal Damage,Criminal Damage To Other Building,361,364,403,343,300,281,278,344,320,281,260
Camden,Criminal Damage,Other Criminal Damage,557,569,520,464,467,372,396,535,616,564,555
Camden,Drugs,Drug Trafficking,293,274,201,244,165,133,123,97,111,95,91
Camden,Drugs,Other Drugs,57,21,30,13,28,23,17,13,19,15,14
Camden,Drugs,Possession Of Drugs,4010,3258,2392,2393,2088,2039,1802,1554,1372,1217,1153
Camden,Fraud or Forgery,Counted per Victim,518,497,643,678,826,79,0,0,0,0,0
Camden,Fraud or Forgery,Other Fraud & Forgery,384,370,415,480,579,86,53,30,39,57,38
Camden,Other Notifiable Offences,Going Equipped,19,34,31,28,26,28,19,16,19,16,13
Camden,Other Notifiable Offences,Other Notifiable,471,400,358,335,450,400,469,432,509,409,451
Camden,Robbery,Business Property,73,92,95,65,56,74,77,78,65,126,111
Camden,Robbery,Personal Property,895,962,1084,1440,1078,823,805,964,848,1901,1619
Camden,Sexual Offences,Other Sexual,175,220,222,257,250,234,281,392,392,436,419
Camden,Sexual Offences,Rape,40,53,116,117,93,103,157,189,226,316,304
Camden,Theft and Handling,Handling Stolen Goods,124,114,87,99,90,57,51,46,60,48,42
Camden,Theft and Handling,Motor Vehicle Interference & Tampering,41,183,176,204,159,159,293,360,383,0,0
Camden,Theft and Handling,Other Theft,7334,7425,8147,8645,8368,7220,6073,6205,5781,5973,6779
Camden,Theft and Handling,Other Theft Person,1402,2185,2480,4019,4309,3770,2471,3178,2837,7517,4551
Camden,Theft and Handling,Theft From Motor Vehicle,2903,2312,2236,2518,2121,1905,1726,1509,1604,1920,2078
Camden,Theft and Handling,Theft From Shops,972,1269,1330,1407,1257,1107,1204,1462,1684,1793,1661
Camden,Theft and Handling,Theft/Taking Of Motor Vehicle,795,771,656,682,574,695,805,785,859,1038,658
Camden,Theft and Handling,Theft/Taking of Pedal Cycle,1238,1869,1568,1413,1152,1104,1153,1077,1083,1191,1345
Camden,Violence Against the Person,Assault with Injury,1732,1755,2009,1955,1678,1190,1301,1468,1600,1620,1714
Camden,Violence Against the Person,Common Assault,1353,1295,1453,1490,1336,1195,1655,2140,2325,2536,2545
Camden,Violence Against the Person,Grievous Bodily Harm,157,293,171,0,0,0,0,0,0,0,0
Camden,Violence Against the Person,Harassment,2208,2034,1917,1616,1617,1326,1805,2423,2635,2891,3035
Camden,Violence Against the Person,Murder,2,2,2,2,6,1,2,1,6,1,4
Camden,Violence Against the Person,Offensive Weapon,191,125,144,107,114,120,83,97,139,211,188
Camden,Violence Against the Person,Other violence,268,209,161,202,191,235,214,230,262,300,289
Camden,Violence Against the Person,Wounding/GBH,168,0,103,250,229,530,673,856,726,906,870
Croydon,Burglary,Burglary in a Dwelling,2296,2835,2831,2959,2798,2759,2068,1825,1853,2053,2246
Croydon,Burglary,Burglary in Other Buildings,1481,1432,1435,1693,1256,1219,1079,915,900,1105,1123
Croydon,Criminal Damage,Criminal Damage To Dwelling,1281,1148,1109,946,798,699,661,744,751,764,652
Croydon,Criminal Damage,Criminal Damage To Motor Vehicle,2072,1967,1836,1470,1341,1215,1198,1243,1323,1236,998
Croydon,Criminal Damage,Criminal Damage To Other Building,481,415,411,364,323,305,318,317,336,271,187
