Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Richmond upon Thames,Violence Against the Person,Other violence,98,98,93,63,58,66,72,134,104,127,129
Richmond upon Thames,Violence Against the Person,Wounding/GBH,48,0,38,90,76,205,237,282,270,283,315
Southwark,Burglary,Burglary in a Dwelling,2195,1905,2037,2157,1952,1924,1550,1528,1503,2067,2121
Southwark,Burglary,Burglary in Other Buildings,1371,1438,1226,1255,1323,1540,1296,1459,1433,1617,1472
Southwark,Criminal Damage,Criminal Damage To Dwelling,1096,900,916,880,648,637,632,642,624,608,566
Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,1599,1283,1064,1153,889,861,855,939,944,895,787
Southwark,Criminal Damage,Criminal Damage To Other Building,349,363,360,361,272,337,324,343,346,297,264
Southwark,Criminal Damage,Other Criminal Damage,678,724,770,784,588,558,658,664,717,716,753
Southwark,Drugs,Drug Trafficking,319,284,394,253,168,269,289,189,113,125,85
Southwark,Drugs,Other Drugs,34,25,34,20,16,13,29,17,15,21,13
Southwark,Drugs,Possession Of Drugs,4696,4406,4477,3266,2293,2474,2510,2115,1719,2011,1797
Southwark,Fraud or Forgery,Counted per Victim,1625,1001,839,655,603,68,0,0,0,0,0
Southwark,Fraud or Forgery,Other Fraud & Forgery,716,579,486,379,434,72,40,36,42,65,53
Southwark,Other Notifiable Offences,Going Equipped,44,41,29,25,21,20,18,19,23,17,17
Southwark,Other Notifiable Offences,Other Notifiable,612,712,695,494,517,460,494,461,501,531,613
Southwark,Robbery,Business Property,180,205,147,152,169,159,106,96,58,126,124
Southwark,Robbery,Personal Property,1746,1761,2130,2296,2424,2176,1202,1133,1271,1677,1680
Southwark,Sexual Offences,Other Sexual,301,313,302,319,304,290,355,451,442,547,559
Southwark,Sexual Offences,Rape,111,146,165,207,132,182,233,235,296,321,346
Southwark,Theft and Handling,Handling Stolen Goods,129,113,82,101,74,98,72,67,58,50,52
Southwark,Theft and Handling,Motor Vehicle Interference & Tampering,155,165,155,138,154,165,335,423,526,0,0
Southwark,Theft and Handling,Other Theft,5209,4386,4878,5349,5525,5366,4731,4858,4822,4667,5522
Southwark,Theft and Handling,Other Theft Person,1439,1386,1739,1939,2464,2798,1285,1507,1812,2290,2074
Southwark,Theft and Handling,Theft From Motor Vehicle,3398,2113,2156,2291,1820,1988,1713,1627,1885,1491,2255
Southwark,Theft and Handling,Theft From Shops,1224,1201,1259,1168,1166,1220,1224,1428,1506,1433,1441
Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,1168,1035,1072,1100,881,989,978,883,1091,1036,1019
Southwark,Theft and Handling,Theft/Taking of Pedal Cycle,1127,1492,1304,1467,1378,1282,1100,1129,1250,1608,1305
Southwark,Violence Against the Person,Assault with Injury,2781,2828,2841,2428,2218,1709,1975,2019,2112,2176,2155
Southwark,Violence Against the Person,Common Assault,1942,2121,2189,1907,1652,1673,2134,2579,2604,2581,2915
Southwark,Violence Against the Person,Grievous Bodily Harm,327,697,327,0,0,0,0,0,0,0,0
Southwark,Violence Against the Person,Harassment,2773,2324,1987,1381,1701,1707,2204,2717,2998,3149,3551
Southwark,Violence Against the Person,Murder,13,8,6,7,6,2,2,4,6,11,10
Southwark,Violence Against the Person,Offensive Weapon,420,284,304,196,206,170,163,208,272,426,417
Southwark,Violence Against the Person,Other violence,485,527,425,312,358,323,315,409,460,432,549
Southwark,Violence Against the Person,Wounding/GBH,288,0,157,410,403,736,1048,1025,1053,1133,1148
Sutton,Burglary,Burglary in a Dwelling,859,789,755,750,881,785,800,626,736,858,960
Sutton,Burglary,Burglary in Other Buildings,803,729,843,878,660,643,606,648,494,540,526
Sutton,Criminal Damage,Criminal Damage To Dwelling,571,460,417,339,287,237,223,250,231,222,209
Sutton,Criminal Damage,Criminal Damage To Motor Vehicle,1154,1086,902,738,624,577,611,620,648,568,541
Sutton,Criminal Damage,Criminal Damage To Other Building,353,267,230,176,183,153,127,139,120,103,85
Sutton,Criminal Damage,Other Criminal Damage,383,366,360,322,261,272,301,319,318,339,347
Sutton,Drugs,Drug Trafficking,48,42,47,40,70,63,37,50,50,29,19
Sutton,Drugs,Other Drugs,4,0,6,0,1,9,4,5,2,5,6
Sutton,Drugs,Possession Of Drugs,466,499,531,532,489,416,417,452,419,380,322
Sutton,Fraud or Forgery,Counted per Victim,356,355,311,347,184,16,0,0,0,0,0
Sutton,Fraud or Forgery,Other Fraud & Forgery,102,87,74,65,105,17,7,9,9,22,6
Sutton,Other Notifiable Offences,Going Equipped,8,7,9,14,12,4,8,7,7,11,7
Sutton,Other Notifiable Offences,Other Notifiable,160,142,115,88,156,137,136,183,254,249,280
Sutton,Robbery,Business Property,70,55,51,43,44,34,17,20,19,33,33
Sutton,Robbery,Personal Property,266,285,259,263,266,216,183,146,147,233,289
Sutton,Sexual Offences,Other Sexual,157,134,104,153,153,155,186,155,205,227,186
Sutton,Sexual Offences,Rape,38,52,63,62,40,68,100,88,108,165,134
Sutton,Theft and Handling,Handling Stolen Goods,46,33,33,39,22,27,24,23,26,22,17
Sutton,Theft and Handling,Motor Vehicle Interference & Tampering,117,145,161,102,129,101,119,204,213,0,0
Sutton,Theft and Handling,Other Theft,1611,1273,1471,1560,1472,1311,1387,1188,1126,1166,1240
Sutton,Theft and Handling,Other Theft Person,300,311,230,156,201,190,136,161,143,173,173
Sutton,Theft and Handling,Theft From Motor Vehicle,1586,1635,1737,1265,1381,1302,1012,729,705,938,1003
Sutton,Theft and Handling,Theft From Shops,909,1029,1050,1031,852,842,744,782,792,841,779
Sutton,Theft and Handling,Theft/Taking Of Motor Vehicle,591,419,401,344,202,260,265,251,386,504,398
Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,244,239,208,201,129,135,166,101,118,139,125
Sutton,Violence Against the Person,Assault with Injury,1136,1122,954,902,939,741,870,867,930,1040,954
Sutton,Violence Against the Person,Common Assault,713,780,714,755,783,615,879,1017,993,1116,1156
Sutton,Violence Against the Person,Grievous Bodily Harm,74,168,75,0,0,0,0,0,0,0,0
Sutton,Violence Against the Person,Harassment,365,417,394,436,712,682,934,1267,1326,1544,1650
Sutton,Violence Against the Person,Murder,3,3,3,1,2,1,0,0,1,0,0
Sutton,Violence Against the Person,Offensive Weapon,109,93,66,69,43,40,44,55,58,74,102
Sutton,Violence Against the Person,Other violence,138,115,107,110,91,81,123,139,140,151,155
Sutton,Violence Against the Person,Wounding/GBH,81,0,42,86,101,232,321,376,306,366,390
Tower Hamlets,Burglary,Burglary in a Dwelling,1273,1040,1119,1528,1377,1450,1212,1259,1348,1947,2332
Tower Hamlets,Burglary,Burglary in Other Buildings,1205,1067,1261,1221,1327,1316,1152,1313,1489,1360,1393
Tower Hamlets,Criminal Damage,Criminal Damage To Dwelling,793,815,735,646,548,496,525,524,489,497,516
Tower Hamlets,Criminal Damage,Criminal Damage To Motor Vehicle,1343,1132,1048,921,840,748,830,924,820,905,731
Tower Hamlets,Criminal Damage,Criminal Damage To Other Building,393,360,370,335,322,272,284,327,298,287,211
Tower Hamlets,Criminal Damage,Other Criminal Damage,708,748,676,593,572,581,628,685,782,742,701
Tower Hamlets,Drugs,Drug Trafficking,224,233,381,296,198,139,136,120,160,132,125
Tower Hamlets,Drugs,Other Drugs,10,15,10,15,12,11,10,9,13,2,13
Tower Hamlets,Drugs,Possession Of Drugs,2899,3000,2837,3185,3245,3017,2115,1722,1483,1389,1959
Tower Hamlets,Fraud or Forgery,Counted per Victim,710,873,773,952,690,73,0,0,0,0,0
Tower Hamlets,Fraud or Forgery,Other Fraud & Forgery,331,371,350,483,405,57,21,23,33,37,46
Tower Hamlets,Other Notifiable Offences,Going Equipped,30,30,32,32,26,25,14,31,34,28,34
Tower Hamlets,Other Notifiable Offences,Other Notifiable,444,410,366,419,783,484,518,593,672,682,741
Tower Hamlets,Robbery,Business Property,80,50,43,109,65,81,69,53,97,70,77
Tower Hamlets,Robbery,Personal Property,1046,869,991,1353,1375,1222,1083,1083,1164,1448,1472
Tower Hamlets,Sexual Offences,Other Sexual,262,222,265,292,271,262,343,352,470,446,471
Tower Hamlets,Sexual Offences,Rape,63,77,110,144,125,135,195,211,267,304,321
Tower Hamlets,Theft and Handling,Handling Stolen Goods,109,81,61,84,64,67,74,73,116,67,38
Tower Hamlets,Theft and Handling,Motor Vehicle Interference & Tampering,102,111,86,90,109,126,242,393,297,0,0
Tower Hamlets,Theft and Handling,Other Theft,4006,3768,4074,4362,4508,4175,3651,3637,3732,3936,4238
Tower Hamlets,Theft and Handling,Other Theft Person,915,1073,1284,1585,1786,1650,1271,1415,1770,1685,1763
Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,2712,1838,1832,2211,1723,1777,1534,1607,1498,1856,2099
Tower Hamlets,Theft and Handling,Theft From Shops,670,705,698,736,695,822,893,1065,1353,1304,1068
Tower Hamlets,Theft and Handling,Theft/Taking Of Motor Vehicle,904,798,846,883,840,812,963,1070,1140,1185,1073
Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,1110,1286,1421,1214,1560,1292,1276,1131,1336,1665,1446
Tower Hamlets,Violence Against the Person,Assault with Injury,1965,1886,1998,1590,1831,1640,1770,1883,1899,1840,1852
Tower Hamlets,Violence Against the Person,Common Assault,1649,1747,1903,1776,1778,1728,2316,2537,2691,2771,2992
Tower Hamlets,Violence Against the Person,Grievous Bodily Harm,221,498,241,0,0,0,0,0,0,0,0
Tower Hamlets,Violence Against the Person,Harassment,1751,1680,1772,1539,1839,1949,2297,2995,3636,3723,4081
Tower Hamlets,Violence Against the Person,Murder,7,8,6,9,3,4,3,5,5,6,3
Tower Hamlets,Violence Against the Person,Offensive Weapon,192,168,149,179,131,122,135,166,222,295,324
Tower Hamlets,Violence Against the Person,Other violence,174,188,184,181,229,366,263,389,356,417,427
Tower Hamlets,Violence Against the Person,Wounding/GBH,237,0,134,448,336,630,900,998,968,1003,1064
Waltham Forest,Burglary,Burglary in a Dwelling,1994,2351,2430,2418,2069,1893,1755,1396,1294,1807,1733
Waltham Forest,Burglary,Burglary in Other Buildings,1207,1097,1025,946,893,816,712,840,577,1042,979
Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,756,732,651,651,493,451,431,452,470,450,369
Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,1654,1404,1058,948,826,784,706,806,792,786,594
Waltham Forest,Criminal Damage,Criminal Damage To Other Building,267,282,252,219,209,155,125,198,150,160,142
Waltham Forest,Criminal Damage,Other Criminal Damage,550,601,655,575,454,421,483,540,580,574,566
Waltham Forest,Drugs,Drug Trafficking,141,322,133,144,124,136,150,116,77,75,89
Waltham Forest,Drugs,Other Drugs,2,6,4,2,4,8,8,16,6,8,3
Waltham Forest,Drugs,Possession Of Drugs,2098,1913,1727,1193,1170,1578,1238,1341,954,809,1065
Waltham Forest,Fraud or Forgery,Counted per Victim,762,902,956,630,723,73,0,0,0,0,0
Waltham Forest,Fraud or Forgery,Other Fraud & Forgery,341,566,614,557,436,49,29,34,52,41,33
Waltham Forest,Other Notifiable Offences,Going Equipped,12,25,21,14,18,14,13,8,9,9,14
Waltham Forest,Other Notifiable Offences,Other Notifiable,283,332,287,262,290,315,375,410,453,385,479
Waltham Forest,Robbery,Business Property,142,163,134,137,93,85,66,47,57,72,70
Waltham Forest,Robbery,Personal Property,1332,1430,1589,1636,1276,902,648,604,548,763,906
Waltham Forest,Sexual Offences,Other Sexual,176,204,188,192,189,249,276,315,354,367,309
Waltham Forest,Sexual Offences,Rape,46,95,105,124,84,114,140,162,154,242,202
Waltham Forest,Theft and Handling,Handling Stolen Goods,97,67,53,40,40,49,47,37,33,21,33
Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,69,105,198,223,241,227,186,291,306,0,0
Waltham Forest,Theft and Handling,Other Theft,2167,2234,3172,3039,3757,3205,3047,2828,2709,2679,2826
Waltham Forest,Theft and Handling,Other Theft Person,756,761,921,821,943,907,617,557,654,698,895
Waltham Forest,Theft and Handling,Theft From Motor Vehicle,3000,3298,2868,2825,2765,2638,1653,1685,1538,1889,2248
Waltham Forest,Theft and Handling,Theft From Shops,938,1227,1213,924,804,1031,914,1028,1162,1012,904
Waltham Forest,Theft and Handling,Theft/Taking Of Motor Vehicle,1154,1004,1181,1705,1110,941,808,696,697,1103,1078
Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,335,518,442,480,429,365,286,262,374,451,413
Waltham Forest,Violence Against the Person,Assault with Injury,1920,1861,1924,1807,1717,1470,1607,1704,1712,1457,1486
Waltham Forest,Violence Against the Person,Common Assault,1456,1383,1357,1317,1257,1313,1529,1772,2038,2050,2105
Waltham Forest,Violence Against the Person,Grievous Bodily Harm,137,328,113,0,0,0,0,0,0,0,0
Waltham Forest,Violence Against the Person,Harassment,1385,1889,1640,1313,1414,1463,1837,2247,2454,2445,2737
Waltham Forest,Violence Against the Person,Murder,8,5,5,5,5,3,3,3,2,2,7
Waltham Forest,Violence Against the Person,Offensive Weapon,194,142,130,116,120,122,150,172,172,229,212
Waltham Forest,Violence Against the Person,Other violence,296,245,253,198,235,302,319,340,370,387,420
Waltham Forest,Violence Against the Person,Wounding/GBH,152,0,111,295,246,561,733,736,712,795,733
Wandsworth,Burglary,Burglary in a Dwelling,1882,1993,1832,1925,1957,1693,1485,1254,1348,1797,2138
Wandsworth,Burglary,Burglary in Other Buildings,1089,1108,1207,1168,1471,1406,1194,1141,1014,1138,1212
Wandsworth,Criminal Damage,Criminal Damage To Dwelling,859,711,728,546,455,428,396,410,396,446,379
Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,1290,1318,1139,1011,893,775,733,800,770,845,656
Wandsworth,Criminal Damage,Criminal Damage To Other Building,299,284,254,232,236,238,189,189,197,177,175
Wandsworth,Criminal Damage,Other Criminal Damage,518,547,530,421,456,371,433,550,483,552,573
Wandsworth,Drugs,Drug Trafficking,105,89,121,72,118,95,173,72,182,250,66
Wandsworth,Drugs,Other Drugs,8,7,7,5,4,18,3,11,11,6,3
Wandsworth,Drugs,Possession Of Drugs,1301,1428,1254,1002,979,993,740,653,713,623,628
Wandsworth,Fraud or Forgery,Counted per Victim,683,561,684,481,586,54,0,0,0,0,0
Wandsworth,Fraud or Forgery,Other Fraud & Forgery,248,315,275,296,455,68,25,25,35,41,42
Wandsworth,Other Notifiable Offences,Going Equipped,37,16,15,27,14,24,21,29,21,19,16
Wandsworth,Other Notifiable Offences,Other Notifiable,265,336,320,250,315,319,370,489,418,420,531
Wandsworth,Robbery,Business Property,121,174,168,138,119,96,53,62,61,52,80
Wandsworth,Robbery,Personal Property,1002,1089,1108,1171,1119,888,561,395,555,711,783
Wandsworth,Sexual Offences,Other Sexual,256,232,269,230,214,258,276,407,418,474,452
Wandsworth,Sexual Offences,Rape,96,89,100,98,114,120,152,166,235,252,258
Wandsworth,Theft and Handling,Handling Stolen Goods,128,60,58,81,71,79,66,45,32,42,30
Wandsworth,Theft and Handling,Motor Vehicle Interference & Tampering,155,132,122,128,218,184,361,399,516,0,0
Wandsworth,Theft and Handling,Other Theft,3484,3302,3193,2995,3927,3564,3279,3509,3420,3174,3153
Wandsworth,Theft and Handling,Other Theft Person,661,652,619,646,1458,1365,684,682,702,679,753
Wandsworth,Theft and Handling,Theft From Motor Vehicle,2888,2513,2619,2838,3018,2649,2178,1701,2382,2245,2338
Wandsworth,Theft and Handling,Theft From Shops,1039,1136,1304,1204,1197,1060,1323,1441,1554,1435,1332
Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,1162,987,961,869,1135,837,969,994,1308,1133,1092
Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,1029,1283,1293,1363,1443,1420,881,805,995,1251,982
Wandsworth,Violence Against the Person,Assault with Injury,2036,2132,1796,1406,1263,1038,1319,1594,1409,1560,1672
Wandsworth,Violence Against the Person,Common Assault,1482,1590,1672,1359,1297,1209,1644,2110,2094,2249,2347
Wandsworth,Violence Against the Person,Grievous Bodily Harm,112,279,120,0,0,0,0,0,0,0,0
Wandsworth,Violence Against the Person,Harassment,993,1026,1167,924,1183,1122,1561,2218,2330,2529,2809
Wandsworth,Violence Against the Person,Murder,4,6,1,4,6,6,3,2,3,6,6
Wandsworth,Violence Against the Person,Offensive Weapon,156,98,92,89,59,100,81,123,122,176,189
Wandsworth,Violence Against the Person,Other violence,204,167,179,180,209,225,237,263,269,371,375
Wandsworth,Violence Against the Person,Wounding/GBH,113,0,62,152,155,369,609,694,697,675,753
Westminster,Burglary,Burglary in a Dwelling,1476,1397,1234,1247,1739,1553,1431,1408,1280,1526,1797
Westminster,Burglary,Burglary in Other Buildings,2158,2266,2038,2079,2356,2366,2008,1753,1948,2464,2968
Westminster,Criminal Damage,Criminal Damage To Dwelling,492,599,538,413,359,321,324,320,365,331,340
Westminster,Criminal Damage,Criminal Damage To Motor Vehicle,1250,1058,1019,938,916,866,687,727,787,736,756
Westminster,Criminal Damage,Criminal Damage To Other Building,577,613,590,547,453,457,425,431,394,403,392
Westminster,Criminal Damage,Other Criminal Damage,896,875,764,672,552,462,593,613,652,777,826
Westminster,Drugs,Drug Trafficking,352,204,298,176,263,262,249,166,120,141,72
Westminster,Drugs,Other Drugs,77,64,73,29,32,28,10,12,13,15,13
Westminster,Drugs,Possession Of Drugs,5098,4859,5543,6580,4681,4156,2750,2009,2017,2195,1809
Westminster,Fraud or Forgery,Counted per Victim,1161,1076,1221,1274,1549,107,0,0,0,0,0
Westminster,Fraud or Forgery,Other Fraud & Forgery,1095,1034,1105,894,905,150,82,74,88,111,77
Westminster,Other Notifiable Offences,Going Equipped,54,88,84,61,47,41,37,30,23,36,36
Westminster,Other Notifiable Offences,Other Notifiable,793,757,808,768,716,825,857,763,756,805,763
Westminster,Robbery,Business Property,68,88,86,77,85,80,112,90,77,112,135
Westminster,Robbery,Personal Property,1679,1688,1691,2142,2311,2179,1886,1457,1780,2280,3041
Westminster,Sexual Offences,Other Sexual,454,414,407,444,364,405,509,583,619,655,729
Westminster,Sexual Offences,Rape,90,106,133,132,171,162,239,246,306,399,530
Westminster,Theft and Handling,Handling Stolen Goods,171,193,152,158,133,116,87,90,90,89,77
Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,39,30,38,39,127,150,332,347,431,0,0
Westminster,Theft and Handling,Other Theft,21097,20369,20023,21080,19825,16757,13890,13661,12262,12586,15104
Westminster,Theft and Handling,Other Theft Person,5383,6392,6582,8467,9514,8584,5958,6170,6061,8766,10543
Westminster,Theft and Handling,Theft From Motor Vehicle,3526,2571,2543,2627,2536,2730,2207,1966,2507,2886,3031
Westminster,Theft and Handling,Theft From Shops,4704,5711,5260,4643,4385,3961,3795,3950,4187,4655,4461
Westminster,Theft and Handling,Theft/Taking Of Motor Vehicle,719,553,665,544,589,654,819,862,1074,976,745
Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,1441,2062,1896,1764,1701,1326,1357,1201,1204,1232,1275
Westminster,Violence Against the Person,Assault with Injury,2902,2950,2950,3077,2514,1884,2065,2127,2173,2331,2328
Westminster,Violence Against the Person,Common Assault,1679,1906,2137,2180,1931,1884,2468,3132,3430,3886,4095
Westminster,Violence Against the Person,Grievous Bodily Harm,251,533,279,0,0,0,0,0,0,0,0
Westminster,Violence Against the Person,Harassment,2605,2708,2475,2209,2102,1921,2327,3009,3550,4359,4689
Westminster,Violence Against the Person,Murder,5,3,2,1,4,5,3,5,2,10,1
Westminster,Violence Against the Person,Offensive Weapon,338,250,210,217,150,186,202,196,270,360,379
Westminster,Violence Against the Person,Other violence,456,439,474,405,292,311,362,453,586,833,744
Westminster,Violence Against the Person,Wounding/GBH,237,0,208,466,334,833,1154,1173,1160,1261,1239
